Odorant,Odor,SMILES representation,exactmw,lipinskiHBA,lipinskiHBD,NumRotatableBonds,NumHBD,NumHBA,NumHeteroatoms,NumAmideBonds,FractionCSP3,NumRings,NumAromaticRings,NumAliphaticRings,NumSaturatedRings,NumHeterocycles,NumAromaticHeterocycles,NumSaturatedHeterocycles,NumAliphaticHeterocycles,NumSpiroAtoms,NumBridgeheadAtoms,NumAtomStereoCenters,NumUnspecifiedAtomStereoCenters,labuteASA,tpsa,CrippenClogP,CrippenMR
methylbutanoate,"ether, fruit, sweet",CCCC(=O)OC,102.06807956,2.0,0.0,2.0,0.0,2.0,2.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.47408681496663,26.3,0.9595,26.923999999999985
aceticacid,sour,CC(O)=O,60.021129368000004,2.0,1.0,0.0,1.0,1.0,2.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.059948994465934,37.3,0.09089999999999993,13.309800000000001
diethylacetal,"fruit, cream",CCOC(C)OCC,118.099379688,2.0,0.0,4.0,0.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.791052058826345,18.46,1.4054,32.713999999999984
2-methyl-1-butanol,malt,CCC(C)CO,88.088815004,1.0,1.0,2.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,38.99325323761199,20.23,1.0248,26.54079999999999
dimethyldisulfide,"onion, cabbage, putrid",CSSC,93.991092192,0.0,0.0,1.0,0.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.7503752793063,0.0,1.6274,27.029999999999994
hexanone,ether,CCCCC(C)=O,100.088815004,1.0,0.0,3.0,0.0,1.0,1.0,0.0,0.8333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.72548369985635,17.07,1.7656,30.20599999999998
methyl-2-butenal,"green, fruit",CC=C(C)C=O,84.057514876,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.67093855327549,17.07,1.1515,25.49499999999999
3-methyl-1-butanol,"whiskey, malt, burnt",CC(C)CCO,88.088815004,1.0,1.0,2.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.99325323761199,20.23,1.0248,26.54079999999999
pentanone,"ether, fruit",CCCC(C)=O,86.07316494,1.0,0.0,2.0,0.0,1.0,1.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.36054158545974,17.07,1.3755,25.588999999999988
pentenal,"strawberry, fruit, tomato",CCC=CC=O,84.057514876,1.0,0.0,2.0,0.0,1.0,1.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.67093855327549,17.07,1.1515,25.49499999999999
2-methyl-1-butanol,"wine, onion",CCC(C)CO,88.088815004,1.0,1.0,2.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,38.99325323761199,20.23,1.0248,26.54079999999999
pentanol,fruit,CCCCCO,88.088815004,1.0,1.0,3.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.99325323761199,20.23,1.1689,26.61079999999999
fucoserratene,"green, plastic",0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
hexenone,"cooked vegetable, metal",CCC=CC(C)=O,98.07316494,1.0,0.0,2.0,0.0,1.0,1.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.035880667672096,17.07,1.5416,30.111999999999988
methylthiophene,sulfur,Cc1sccc1,98.019021192,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.2,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,41.436708504305074,0.0,2.05652,29.055999999999994
