No.	NAME	MW	AMW	Sv	Se	Sp	Si	Mv	Me	Mp	Mi	GD	nAT	nSK	nTA	nBT	nBO	nBM	SCBO	RBN	RBF	nDB	nTB	nAB	nH	nC	nN	nO	nP	nS	nF	nCL	nBR	nI	nB	nHM	nHet	nX	H%	C%	N%	O%	X%	nCsp3	nCsp2	nCsp	max_conj_path	nStructures	totalcharge
553	delta-undecalactone	184.31	5.58515151515151	17.6976	32.4906	19.523	37.5708	0.53629090909091	0.984563636363637	0.591606060606061	1.13850909090909	0.166666666666667	33	13	2	33	13	1	14	5	0.151515151515152	1	0	0	20	11	0	2	0	0	0	0	0	0	0	0	2	0	60.6060606060606	33.3333333333333	0	6.06060606060606	0	10	1	0	0	1	0
554	geranylisovalerate	238.41	5.54441860465116	23.278	42.1414	25.8072	48.8164	0.541348837209303	0.980032558139535	0.600167441860466	1.13526511627907	0.117647058823529	43	17	6	42	16	3	19	8	0.19047619047619	3	0	0	26	15	0	2	0	0	0	0	0	0	0	0	2	0	60.4651162790698	34.8837209302326	0	4.65116279069767	0	10	5	0	0	1	0
555	tetradecylaldehyde	212.42	4.93999999999999	22.09	41.6977	25.1141	49.0222	0.513720930232559	0.969713953488372	0.584048837209303	1.1400511627907	0.133333333333333	43	15	2	42	14	1	15	12	0.285714285714286	1	0	0	28	14	0	1	0	0	0	0	0	0	0	0	1	0	65.1162790697674	32.5581395348837	0	2.32558139534884	0	13	1	0	0	1	0
556	(E)-2-hexenoicacid	114.16	6.34222222222223	10.0636	18.0726	10.716	20.4948	0.559088888888889	1.00403333333333	0.595333333333333	1.1386	0.25	18	8	3	17	7	2	9	3	0.176470588235294	2	0	0	10	6	0	2	0	0	0	0	0	0	0	0	2	0	55.5555555555556	33.3333333333333	0	11.1111111111111	0	3	3	0	4	1	0
557	hexadecane	226.5	4.52999999999999	24.9556	48.0212	28.9438	57.0584	0.499112000000001	0.960424	0.578876000000001	1.141168	0.125	50	16	2	49	15	0	15	13	0.26530612244898	0	0	0	34	16	0	0	0	0	0	0	0	0	0	0	0	0	68	32	0	0	0	16	0	0	0	1	0
558	spathulenol	220.39	5.50974999999999	22.0364	38.9305	24.5913	45.1918	0.55091	0.9732625	0.614782500000001	1.129795	0.15	40	16	5	42	18	1	19	0	0	1	0	0	24	15	0	1	0	0	0	0	0	0	0	0	1	0	60	37.5	0	2.5	0	13	2	0	0	1	0
559	levomenol	222.41	5.29547619047618	22.5632	40.8141	25.3527	47.607	0.537219047619048	0.971764285714286	0.603635714285715	1.1335	0.133333333333333	42	16	5	42	16	2	18	4	0.0952380952380952	2	0	0	26	15	0	1	0	0	0	0	0	0	0	0	1	0	61.9047619047619	35.7142857142857	0	2.38095238095238	0	11	4	0	0	1	0
560	citronellylvalerate	240.43	5.34288888888888	23.8048	44.025	26.5686	51.2316	0.528995555555556	0.978333333333334	0.590413333333334	1.13848	0.117647058823529	45	17	5	44	16	2	18	10	0.227272727272727	2	0	0	28	15	0	2	0	0	0	0	0	0	0	0	2	0	62.2222222222222	33.3333333333333	0	4.44444444444444	0	12	3	0	0	1	0
561	methyljasmonate	224.33	6.23138888888888	20.4124	35.8179	21.9775	40.7802	0.567011111111111	0.994941666666667	0.610486111111111	1.13278333333333	0.133333333333333	36	16	4	36	16	3	19	6	0.166666666666667	3	0	0	20	13	0	3	0	0	0	0	0	0	0	0	3	0	55.5555555555556	36.1111111111111	0	8.33333333333333	0	9	4	0	0	1	0
562	(-)-cubenol	118.14	7.876	10.2952	14.9781	10.7387	16.455	0.686346666666667	0.99854	0.715913333333333	1.097	0.361111111111111	15	9	1	19	13	1	14	0	0	1	0	0	6	8	0	1	0	0	0	0	0	0	0	0	1	0	40	53.3333333333333	0	6.66666666666667	0	6	2	0	0	1	0
563	geranylvalerate	238.41	5.54441860465116	23.278	42.1414	25.8072	48.8164	0.541348837209303	0.980032558139535	0.600167441860466	1.13526511627907	0.117647058823529	43	17	5	42	16	3	19	9	0.214285714285714	3	0	0	26	15	0	2	0	0	0	0	0	0	0	0	2	0	60.4651162790698	34.8837209302326	0	4.65116279069767	0	10	5	0	0	1	0
564	methyltetradecanoate	242.45	5.15851063829787	24.3316	45.9086	27.33	53.6468	0.517693617021277	0.976778723404256	0.581489361702128	1.14142127659574	0.117647058823529	47	17	3	46	16	1	17	13	0.282608695652174	1	0	0	30	15	0	2	0	0	0	0	0	0	0	0	2	0	63.8297872340426	31.9148936170213	0	4.25531914893617	0	14	1	0	0	1	0
565	bulnesol	222.41	5.29547619047618	22.5632	40.8141	25.3527	47.607	0.537219047619048	0.971764285714286	0.603635714285715	1.1335	0.141666666666667	42	16	5	43	17	1	18	1	0.0232558139534884	1	0	0	26	15	0	1	0	0	0	0	0	0	0	0	1	0	61.9047619047619	35.7142857142857	0	2.38095238095238	0	13	2	0	0	1	0
566	beta-eudesmol	222.41	5.29547619047618	22.5632	40.8141	25.3527	47.607	0.537219047619048	0.971764285714286	0.603635714285715	1.1335	0.141666666666667	42	16	5	43	17	1	18	1	0.0232558139534884	1	0	0	26	15	0	1	0	0	0	0	0	0	0	0	1	0	61.9047619047619	35.7142857142857	0	2.38095238095238	0	13	2	0	0	1	0
567	(Z)-6-dodecen-gamma-lactone	196.32	5.77411764705882	18.6976	33.4906	20.523	38.5708	0.549929411764706	0.985017647058824	0.603617647058824	1.13443529411765	0.153846153846154	34	14	2	34	14	2	16	7	0.205882352941176	2	0	0	20	12	0	2	0	0	0	0	0	0	0	0	2	0	58.8235294117647	35.2941176470588	0	5.88235294117647	0	9	3	0	0	1	0
568	cadina-1,4-dien-3-ol	220.39	5.50974999999999	22.0364	38.9305	24.5913	45.1918	0.55091	0.9732625	0.6147825	1.129795	0.141666666666667	40	16	5	41	17	2	19	1	0.024390243902439	2	0	0	24	15	0	1	0	0	0	0	0	0	0	0	1	0	60	37.5	0	2.5	0	11	4	0	0	1	0
569	(Z)-6-dodecene-gamma-lactone	196.32	5.77411764705882	18.6976	33.4906	20.523	38.5708	0.549929411764706	0.985017647058824	0.603617647058824	1.13443529411765	0.153846153846154	34	14	2	34	14	2	16	7	0.205882352941176	2	0	0	20	12	0	2	0	0	0	0	0	0	0	0	2	0	58.8235294117647	35.2941176470588	0	5.88235294117647	0	9	3	0	0	1	0
570	alpha-bisabolol	222.41	5.29547619047618	22.5632	40.8141	25.3527	47.607	0.537219047619048	0.971764285714286	0.603635714285715	1.1335	0.133333333333333	42	16	5	42	16	2	18	4	0.0952380952380952	2	0	0	26	15	0	1	0	0	0	0	0	0	0	0	1	0	61.9047619047619	35.7142857142857	0	2.38095238095238	0	11	4	0	0	1	0
571	beta-bisabolol	222.41	5.29547619047618	22.5632	40.8141	25.3527	47.607	0.537219047619048	0.971764285714286	0.603635714285715	1.1335	0.133333333333333	42	16	5	42	16	2	18	4	0.0952380952380952	2	0	0	26	15	0	1	0	0	0	0	0	0	0	0	1	0	61.9047619047619	35.7142857142857	0	2.38095238095238	0	11	4	0	0	1	0
